name,match,synonym(s),cultivar,ipen,metadata (line rest),metadata (next lines),raw
Iris japonica Thunb,1,,,,(Foto: Botanischer Garten der TU Dresden),"['3', 'SAMEN AUS DEM FREILAND DES BOTANISCHEN GARTENS', 'Seeds collected from plants outdoors in the Botanical Garden']",Iris japonica Thunb. (Foto: Botanischer Garten der TU Dresden)
Ruellia humilis Nutt,1,,,US-0-DR-014921,14921 ,[],14921  Ruellia humilis Nutt. US-0-DR-014921
Thunbergia alata,1,,,xx-0-DR-009745,9745 Boj. ex Sims ,[],9745 Thunbergia alata Boj. ex Sims xx-0-DR-009745
Allium acuminatum Hook,1,,,US-0-DR-013666,13666 ,[],13666  Allium acuminatum Hook. US-0-DR-013666
Allium lusitanicum Lam,1,,,DE-0-DR-013608,13608 ,[],13608  Allium lusitanicum Lam. DE-0-DR-013608
Nothoscordum bivalve,1,,,xx-0-DR-010341,10341 (L.) Britt. ,[],10341 Nothoscordum bivalve (L.) Britt. xx-0-DR-010341
Amaranthus caudatus L,1,,,xx-0-DR-004241,4241 ,[],4241 Amaranthus caudatus L. xx-0-DR-004241
Celosia argentea L,1,,,PG-0-DR-003921,3921 ,[],3921  Celosia argentea L. PG-0-DR-003921
Chenopodium vulvaria L,1,,,FR-0-DR-003918,3918 ,[],3918  Chenopodium vulvaria L. FR-0-DR-003918
Dysphania ambrosioides,1,,,IT-0-DR-004373,4373 (L.) Mosyakin et Clemants ,[],4373  Dysphania ambrosioides (L.) Mosyakin et Clemants IT-0-DR-004373
Dysphania anthelmintica,1,,,xx-0-DR-005054,5054 (L.) Mosyakin et Clemants ,[],5054 Dysphania anthelmintica (L.) Mosyakin et Clemants xx-0-DR-005054
Anthericum ramosum L,1,,,DE-0-DR-013962,13962 ,[],13962  Anthericum ramosum L. DE-0-DR-013962
Ammi majus L,1,,,IL-0-DR-011028,11028 ,[],11028  Ammi majus L. IL-0-DR-011028
Bupleurum longiradiatum Turcz,1,,,JP-0-DR-016377,16377 ,[],16377  Bupleurum longiradiatum Turcz. JP-0-DR-016377
Bupleurum rotundifolium L,1,,,DE-0-DR-004035,4035 ,[],4035  Bupleurum rotundifolium L. DE-0-DR-004035
